NOM,ASSOCIANT,belaubre,chouki,cohen,laroze,maurice,moudenc,plancade,sellin,torremocha,deveyrac
CAPITOLE SALLE DES COMMISSIONS,001,1,2,3,4,75,57,5,4,4,4
MATERNELLE LAKANAL,002,,,,,,,,,,
ECOLE FOURTANIER,003,,,,,,,,,,
ECOLE FOURTANIER,004,,,,,,,,,,
ECOLE FOURTANIER,005,,,,,,,,,,
ECOLE LAKANAL,006,,,,,,,,,,
ECOLE LAKANAL,007,,,,,,,,,,
ECOLE MICHELET,008,,,,,,,,,,
ECOLE MICHELET,009,,,,,,,,,,
ECOLE MICHELET,010,,,,,,,,,,
ECOLE MICHELET,010A,,,,,,,,,,
ECOLE CALVINHAC,011,,,,,,,,,,
ECOLE CALVINHAC,012,,,,,,,,,,
ECOLE BONHOURE,013,,,,,,,,,,
ECOLE BONHOURE,014,,,,,,,,,,
ECOLE BONHOURE,015,,,,,,,,,,
ECOLE BONHOURE,016,,,,,,,,,,
ECOLE BONHOURE,017,,,,,,,,,,
ECOLE JEAN JAURES,018,,,,,,,,,,
ECOLE JEAN JAURES,019,,,,,,,,,,
ECOLE JEAN JAURES,020,,,,,,,,,,
ECOLE JEAN JAURES,021,,,,,,,,,,
ECOLE JEAN JAURES,022,,,,,,,,,,
ECOLE JEAN JAURES,022A,,,,,,,,,,
ECOLE P DUPONT,023,,,,,,,,,,
ECOLE P DUPONT,024,,,,,,,,,,
ECOLE P DUPONT,025,,,,,,,,,,
ECOLE P DUPONT,025A,,,,,,,,,,
ECOLE FABRE,027,,,,,,,,,,
ECOLE FABRE,028,,,,,,,,,,
ECOLE FABRE,029,,,,,,,,,,
ECOLE FABRE,030,,,,,,,,,,
ECOLE FABRE,031,,,,,,,,,,
ECOLE FABRE,032,,,,,,,,,,
ECOLE LESPINASSE,033,,,,,,,,,,
ECOLE LESPINASSE,034,,,,,,,,,,
ECOLE LESPINASSE,035,,,,,,,,,,
ECOLE LESPINASSE,036,,,,,,,,,,
ECOLE LESPINASSE,036A,,,,,,,,,,
ECOLE MOLIERE,037,,,,,,,,,,
ECOLE MOLIERE,038,,,,,,,,,,
ECOLE MOLIERE,039,,,,,,,,,,
ECOLE MOLIERE,039A,,,,,,,,,,
ECOLE PATTE D'OIE,040,,,,,,,,,,
ECOLE PATTE D'OIE,041,,,,,,,,,,
ECOLE PATTE D'OIE,042,,,,,,,,,,
ECOLE PATTE D'OIE,043,,,,,,,,,,
ECOLE PATTE D'OIE,044,,,,,,,,,,
ECOLE PATTE D'OIE,044A,,,,,,,,,,
ECOLE PATTE D'OIE,044B,,,,,,,,,,
ECOLE ETIENNE BILLIERES,045,,,,,,,,,,
ECOLE ETIENNE BILLIERES,046,,,,,,,,,,
ECOLE ETIENNE BILLIERES,047,,,,,,,,,,
ECOLE ETIENNE BILLIERES,048,,,,,,,,,,
ECOLE GAIS PINSONS,049,,,,,,,,,,
ECOLE GAIS PINSONS,049A,,,,,,,,,,
ECOLE FONTAINE BAYONNE,050,,,,,,,,,,
ECOLE FONTAINE BAYONNE,051,,,,,,,,,,
ECOLE FONTAINE BAYONNE,052,,,,,,,,,,
ECOLE DES AMIDONNIERS,053,,,,,,,,,,
ECOLE DES AMIDONNIERS,054,,,,,,,,,,
ECOLE DES AMIDONNIERS,055,,,,,,,,,,
EC.SUP. DE COMMERCE,056,,,,,,,,,,
EC.SUP. DE COMMERCE,056A,,,,,,,,,,
ECOLE CLAUDE NOUGARO,057,,,,,,,,,,
ECOLE CLAUDE NOUGARO,058,,,,,,,,,,
ECOLE CLAUDE NOUGARO,059,,,,,,,,,,
ECOLE CLAUDE NOUGARO,060,,,,,,,,,,
ECOLE ALFRED DE MUSSET,061,,,,,,,,,,
ECOLE ALFRED DE MUSSET,062,,,,,,,,,,
ECOLE ALFRED DE MUSSET,063,,,,,,,,,,
MATERNELLE PONTS JUMEAUX,064,,,,,,,,,,
MATERNELLE PONTS JUMEAUX,065,,,,,,,,,,
ECOLE FALGUIERE,066,,,,,,,,,,
ECOLE FALGUIERE,067,,,,,,,,,,
ECOLE FALGUIERE,067A,,,,,,,,,,
ECOLE DES SEPT DENIERS,068,,,,,,,,,,
ECOLE DES SEPT DENIERS,069,,,,,,,,,,
ECOLE DES SEPT DENIERS,070,,,,,,,,,,
ECOLE DES SEPT DENIERS,071,,,,,,,,,,
MATERNELLE SERMET,072,,,,,,,,,,
MATERNELLE SERMET,073,,,,,,,,,,
MATERNELLE SERMET,074,,,,,,,,,,
ECOLE DU NORD,075,,,,,,,,,,
ECOLE DU NORD,076,,,,,,,,,,
ECOLE DU NORD,077,,,,,,,,,,
ECOLE DU NORD,078,,,,,,,,,,
ECOLE DU NORD,079,,,,,,,,,,
ECOLE BAYARD,080,,,,,,,,,,
ECOLE BAYARD,081,,,,,,,,,,
ECOLE BAYARD,082,,,,,,,,,,
ECOLE BAYARD,083,,,,,,,,,,
ECOLE BAYARD,084,,,,,,,,,,
PISCINE LEO LAGRANGE,085,,,,,,,,,,
